nm,Asta80
350,13181.0320107143
350.4,13155.3354864286
350.8,13165.6140942857
351.2,13192.5954457143
351.6,13204.1588807143
352,13242.7036671429
352.4,13285.102935
352.8,13290.2422435714
353.2,13313.3691135714
353.6,13357.0531992857
354,13390.4586864286
354.4,13431.5731178571
354.8,13459.8392964286
355.2,13498.3840828571
355.6,13536.9288692857
356,13615.3032692857
356.4,13651.2784014286
356.8,13693.6776692857
357.2,13738.6465821429
357.6,13796.4637664286
358,13855.5657685714
358.4,13910.8132985714
358.8,13964.7759921429
359.2,14057.2834814286
359.6,14140.7971807143
360,14207.6081457143
360.4,14279.5584192857
360.8,14343.7997207143
361.2,14392.6231242857
361.6,14469.7126971429
362,14548.0870878571
362.4,14632.8856235714
362.8,14720.2538042857
363.2,14774.2165071429
363.6,14844.8819442857
364,14927.1108257143
364.4,15028.6120957143
364.8,15110.8409678571
365.2,15185.3608864286
365.6,15258.5959778571
366,15369.0910378571
366.4,15471.877135
366.8,15577.2328771429
367.2,15673.5948478571
367.6,15772.5264635714
368,15879.1670328571
368.4,15952.4021335714
368.8,16043.6247957143
369.2,16132.2778035714
369.6,16223.5004564286
370,16326.2865535714
370.4,16434.2119592857
370.8,16551.1311457143
371.2,16668.0503228571
371.6,16777.2605557143
372,16885.1859521429
372.4,16987.9720492857
372.8,17084.3340107143
373.2,17201.2531971429
373.6,17305.3241214286
374,17426.0977892857
374.4,17536.59284
374.8,17653.5120264286
375.2,17753.7284692857
375.6,17878.3566092857
376,18006.8392307143
376.4,18143.0308057143
376.8,18256.0955107143
377.2,18362.7360892857
377.6,18480.9400935714
378,18628.6951128571
378.4,18764.8866878571
378.8,18903.6479171429
379.2,19030.8457114286
379.6,19190.1641657143
380,19340.48883
380.4,19489.5286671429
380.8,19643.7078128571
381.2,19772.1904342857
381.6,19923.7999257143
382,20072.8397628571
382.4,20214.1706464286
382.8,20368.3497921429
383.2,20534.0923728571
383.6,20694.695645
384,20854.01409
384.4,21023.6111521429
384.8,21208.6261214286
385.2,21361.52044
385.6,21528.5478478571
386,21695.5752557143
386.4,21879.3054071429
386.8,22065.6052035714
387.2,22263.468435
387.6,22475.464765
388,22647.6314721429
388.4,22835.2160957143
388.8,23031.7945092857
389.2,23252.7846107143
389.6,23471.2050671429
390,23678.0620885714
390.4,23887.488755
390.8,24102.05473
391.2,24341.0324114286
391.6,24568.4466485714
392,24816.4181014286
392.4,25072.0985171429
392.8,25325.2092785714
393.2,25592.4531292857
393.6,25839.139755
394,26111.5229142857
394.4,26395.4695085714
394.8,26674.2767942857
395.2,26938.9509907143
395.6,27226.7520571429
396,27501.7048614286
396.4,27802.3541992857
396.8,28108.1428364286
397.2,28393.3742485714
397.6,28691.4539321429
398,28979.2549985714
398.4,29288.8981171429
398.8,29604.9653621429
399.2,29927.4567335714
399.6,30244.8088057143
400,30605.8449728571
400.4,30963.0266585714
400.8,31299.6511192857
401.2,31656.832805
401.6,32020.4386171429
402,32398.1775278571
402.4,32746.3654235714
402.8,33112.54089
403.2,33481.2860107143
403.6,33878.29731
404,34267.5996464286
404.4,34672.3198992857
404.8,35084.749115
405.2,35479.19076
405.6,35895.4744478571
406,36300.1947007143
406.4,36721.6176971429
406.8,37134.0469035714
407.2,37546.4761192857
407.6,37989.7411585714
408,38418.8731085714
408.4,38841.5809321429
408.8,39295.1245792857
409.2,39728.1110107143
409.6,40167.5215685714
410,40640.3376135714
410.4,41090.0267792857
410.8,41555.1338707143
411.2,42021.52578
411.6,42489.2025164286
412,42973.5819964286
412.4,43445.1132142857
412.8,43937.2016478572
413.2,44422.865955
413.6,44912.3847342857
414,45422.4607385714
414.4,45941.5305235714
414.8,46461.8851357143
415.2,46991.2335285714
415.6,47510.3033135714
416,48044.791015
416.4,48570.2849357143
416.8,49127.8995071429
417.2,49686.7989057143
417.6,50239.2741685714
418,50820.0156192857
418.4,51396.9025792857
418.8,51963.5109314286
419.2,52530.1192928571
419.6,53117.28487
420,53700.5959657143
420.4,54294.1856692857
420.8,54873.6422835714
421.2,55473.6561228571
421.6,56074.95478
422,56673.6837921429
422.4,57263.4190235714
422.8,57846.7301192857
423.2,58473.7253007143
423.6,59089.1570564286
424,59704.5888028571
424.4,60327.7295121429
424.8,60959.8640021429
425.2,61584.2895385714
425.6,62227.9874635714
426,62851.1281728571
426.4,63498.6805792857
426.8,64126.9605971429
427.2,64757.81026
427.6,65405.3626664286
428,66079.8964242857
428.4,66721.024695
428.8,67367.2922742857
429.2,68021.2688164286
429.6,68708.6508364286
430,69374.1908042857
430.4,70029.4521735714
430.8,70706.5555764286
431.2,71372.0955535714
431.6,72053.0534378571
432,72705.7451528571
432.4,73376.4244292857
432.8,74045.8188785714
433.2,74716.498155
433.6,75383.3229592857
434,76043.7236278571
434.4,76701.5546421429
434.8,77342.6829128571
435.2,78001.7987542857
