nm,Null
350,0
350.4,0
350.8,0
351.2,0
351.6,0
352,0
352.4,0
352.8,0
353.2,0
353.6,0
354,0
354.4,0
354.8,0
355.2,0
355.6,0
356,0
356.4,0
356.8,0
357.2,0
357.6,0
358,0
358.4,0
358.8,0
359.2,0
359.6,0
360,0
360.4,0
360.8,0
361.2,0
361.6,0
362,0
362.4,0
362.8,0
363.2,0
363.6,0
364,0
364.4,0
364.8,0
365.2,0
365.6,0
366,0
366.4,0
366.8,0
367.2,0
367.6,0
368,0
368.4,0
368.8,0
369.2,0
369.6,0
370,0
370.4,0
370.8,0
371.2,0
371.6,0
372,0
372.4,0
372.8,0
373.2,0
373.6,0
374,0
374.4,0
374.8,0
375.2,0
375.6,0
376,0
376.4,0
376.8,0
377.2,0
377.6,0
378,0
378.4,0
378.8,0
379.2,0
379.6,0
380,0
380.4,0
380.8,0
381.2,0
381.6,0
382,0
382.4,0
382.8,0
383.2,0
383.6,0
384,0
384.4,0
384.8,0
385.2,0
385.6,0
386,0
386.4,0
386.8,0
387.2,0
387.6,0
388,0
388.4,0
388.8,0
389.2,0
389.6,0
390,0
390.4,0
390.8,0
391.2,0
391.6,0
392,0
392.4,0
392.8,0
393.2,0
393.6,0
394,0
394.4,0
394.8,0
395.2,0
395.6,0
396,0
396.4,0
396.8,0
397.2,0
397.6,0
398,0
398.4,0
398.8,0
399.2,0
399.6,0
400,0
400.4,0
400.8,0
401.2,0
401.6,0
402,0
402.4,0
402.8,0
403.2,0
403.6,0
404,0
404.4,0
404.8,0
405.2,0
405.6,0
406,0
406.4,0
406.8,0
407.2,0
407.6,0
408,0
408.4,0
408.8,0
409.2,0
409.6,0
410,0
410.4,0
410.8,0
411.2,0
411.6,0
412,0
412.4,0
412.8,0
413.2,0
413.6,0
414,0
414.4,0
414.8,0
415.2,0
415.6,0
416,0
416.4,0
416.8,0
417.2,0
417.6,0
418,0
418.4,0
418.8,0
419.2,0
419.6,0
420,0
420.4,0
420.8,0
421.2,0
421.6,0
422,0
422.4,0
422.8,0
423.2,0
423.6,0
424,0
424.4,0
424.8,0
425.2,0
425.6,0
426,0
426.4,0
426.8,0
